objID,raMean,decMean,nDetections,ng,nr,ni,nz,ny,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,rMeanKronMag,rMeanKronMagErr,iMeanKronMag,iMeanKronMagErr,zMeanKronMag,zMeanKronMagErr,yMeanKronMag,yMeanKronMagErr
171140247641042140,24.76409999293191,52.61787721725229,54,10,9,14,9,12,21.15180015563965,0.035433001816272736,20.003999710083008,0.041120000183582306,19.395700454711914,0.012839999981224537,19.12700080871582,0.015200000256299973,18.921100616455078,0.032363999634981155,21.09079933166504,0.13980600237846375,20.064699172973633,0.06296899914741516,19.483699798583984,0.01775999926030636,19.19930076599121,0.061149001121520996,19.08930015563965,0.027876000851392746
171480250770441638,25.077038204433787,52.900774855928255,57,11,15,10,10,11,16.284700393676758,0.001766999950632453,15.647899627685547,0.003148999996483326,15.35099983215332,0.006118000019341707,15.231100082397461,0.0020039998926222324,15.12660026550293,0.0031560000497847795,16.349899291992188,0.0023399998899549246,15.715100288391113,0.0026700000744313,15.417099952697754,0.005417999811470509,15.282500267028809,0.0018599999602884054,15.195199966430664,0.015192000195384026
171480250773456853,25.077340739457053,52.90515593222986,56,10,9,16,10,11,19.546499252319336,0.01873300038278103,18.428199768066406,0.005437999963760376,17.920000076293945,0.003452999982982874,17.648300170898438,0.007832000032067299,17.449499130249023,0.01790500059723854,19.69659996032715,0.01936200074851513,18.546499252319336,0.009095000103116035,18.020200729370117,0.009751000441610813,17.743900299072266,0.012889999896287918,17.57349967956543,0.034286998212337494
171480250842458866,25.084241445642206,52.90680607664269,66,12,12,16,13,13,19.983299255371094,0.023300999775528908,19.473499298095703,0.014069999568164349,19.224199295043945,0.012426000088453293,19.08300018310547,0.00929300021380186,18.939599990844727,0.024383999407291412,20.098600387573242,0.03629299998283386,19.635499954223633,0.014538999646902084,19.3533992767334,0.013818000443279743,19.22089958190918,0.03076699934899807,19.084699630737305,0.07545000314712524
171480250879854336,25.087948011942903,52.903027779472446,63,7,15,16,13,12,20.6648006439209,0.038141001015901566,19.603300094604492,0.007922999560832977,19.116899490356445,0.006076999939978123,18.835899353027344,0.011652999557554722,18.6382999420166,0.015068000182509422,20.715599060058594,0.08103200048208237,19.707199096679688,0.023648999631404877,19.206899642944336,0.028497999534010887,18.925100326538086,0.018377000465989113,18.814599990844727,0.029644999653100967
171480250894932909,25.08948859325387,52.901836704456805,61,10,13,16,12,10,18.279800415039062,0.004993000067770481,17.702600479125977,0.0036909999325871468,17.44420051574707,0.005013999994844198,17.311599731445312,0.0036770000588148832,17.22319984436035,0.011350000277161598,18.377300262451172,0.013079999946057796,17.781200408935547,0.00922400038689375,17.51580047607422,0.01077600009739399,17.398500442504883,0.008953000418841839,17.3351993560791,0.013376000337302685
171480250972589075,25.097255192339574,52.90697100984684,67,12,15,14,14,12,17.724599838256836,0.003396000014618039,16.882400512695312,0.00432500010356307,16.49720001220703,0.003696999978274107,16.27989959716797,0.0012870000209659338,16.14459991455078,0.003855000017210841,17.792999267578125,0.006510999985039234,16.94809913635254,0.0037299999967217445,16.54829978942871,0.004397000186145306,16.336599349975586,0.0034119999036192894,16.234699249267578,0.008848000317811966
171480250978237797,25.097822576162976,52.90590812806102,65,12,15,14,12,12,18.234800338745117,0.0070940000005066395,17.65959930419922,0.004606000147759914,17.420499801635742,0.0031739999540150166,17.28969955444336,0.004317000042647123,17.200300216674805,0.00979700032621622,18.317800521850586,0.009561000391840935,17.775699615478516,0.00508899986743927,17.502099990844727,0.007052000146359205,17.38640022277832,0.009131000377237797,17.306499481201172,0.015432000160217285
171480250978532981,25.097882212655858,52.9018860375836,57,6,13,13,12,13,21.936199188232422,0.16980700194835663,20.472700119018555,0.023724999278783798,19.801599502563477,0.01309799961745739,19.487699508666992,0.02471200004220009,19.28580093383789,0.033254001289606094,21.98870086669922,0.20860299468040466,20.60219955444336,0.04775499925017357,19.953899383544922,0.041756000369787216,19.600000381469727,0.04539500176906586,19.54490089416504,0.08421000093221664
171480251016499911,25.1016605049808,52.90765991048452,69,12,14,15,14,14,19.992300033569336,0.015658000484108925,19.331300735473633,0.015038999728858471,19.029199600219727,0.008705999702215195,18.852699279785156,0.014430999755859375,18.724599838256836,0.03254599869251251,20.16900062561035,0.028884999454021454,19.463699340820312,0.024483000859618187,19.1427001953125,0.021550999954342842,18.922800064086914,0.024741999804973602,18.878799438476562,0.031665999442338943
171290248471799429,24.8471441366971,52.74894937388332,62,12,10,16,13,11,19.733400344848633,0.009820999577641487,18.440099716186523,0.008621999993920326,17.85300064086914,0.005034000147134066,17.54560089111328,0.006521000061184168,17.32469940185547,0.006175000220537186,19.83009910583496,0.019700000062584877,18.51930046081543,0.009870000183582306,17.953800201416016,0.013484000228345394,17.631000518798828,0.001534000039100647,17.44540023803711,0.01818300038576126
171290248518550653,24.851857189996636,52.74164067850915,67,14,15,15,12,11,19.030799865722656,0.014955000020563602,18.411500930786133,0.006192000117152929,18.121299743652344,0.007807000074535608,17.995399475097656,0.003920000046491623,17.836200714111328,0.016286000609397888,19.106300354003906,0.024699000641703606,18.4606990814209,0.008417000062763691,18.14109992980957,0.015359999611973763,18.038700103759766,0.013411999680101871,17.76259994506836,0.01895200088620186
171290248650334816,24.865052782873068,52.74509550266353,45,8,10,14,10,3,21.969600677490234,0.03663500025868416,20.848600387573242,0.04522499814629555,20.206100463867188,0.023121999576687813,19.82979965209961,0.024762999266386032,19.48900032043457,0.08494400233030319,21.98390007019043,0.32337599992752075,20.848499298095703,0.11605100333690643,20.363300323486328,0.05051400139927864,19.882400512695312,0.035016000270843506,19.7908992767334,0.25742900371551514
171290248750894618,24.875014862279066,52.74497888259786,56,14,11,14,11,6,21.553199768066406,0.06137499958276749,20.298099517822266,0.038043998181819916,19.532400131225586,0.04160400107502937,19.452999114990234,0.06356000155210495,18.922800064086914,0.1494539976119995,20.928800582885742,0.07975299656391144,19.62030029296875,0.05245700106024742,18.893299102783203,0.022172000259160995,18.601299285888672,0.046914998441934586,18.15530014038086,0.07263199985027313
